image,label,crop,recording,timestamp_ns,reviewer,review_note,sha256
images/sweet_corn_20220712/frame_002_1657652151121045440.jpg,OPEN,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652151121045440,user,In-row; open,f59c6e1be53af9b3cae22eec6d69c7321d9647edbf045986f5dd2dd6bc7067b8
images/sweet_corn_20220712/frame_008_1657652211224760768.jpg,OPEN,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652211224760768,user,In-row; open,4d4585c0e08d18c69ce6120132ce67624188cffdee8703cf60c5a68e152d4a5f
images/sweet_corn_20220712/frame_012_1657652251326224800.jpg,CROP_STOP,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652251326224800,user,In-row; crop risk; stop,e63fa6a0bb4002098e779a801bdc6f56029184f739382a3bdb2763b1c12252bb
images/sweet_corn_20220712/frame_014_1657652271360111008.jpg,WEEDS_CONTINUE,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652271360111008,user,In-row; weeds continue,f3ec7074b7926ae975f44d88792bfbccc8df835d191abecd6632f3cc61574481
images/sweet_corn_20220712/frame_017_1657652301461180160.jpg,WEEDS_CONTINUE,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652301461180160,user,In-row; weeds continue,ff52d67259f0da5df568d812746317dc4781a41c57103a0d9b908f108646cace
images/sweet_corn_20220712/frame_018_1657652311496289792.jpg,OPEN,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652311496289792,user,In-row; open,0ef2b89ebc2ecc7b00ebd2542d7e66aec542f27aad434325e5f6c73458e8039d
images/sweet_corn_20220712/frame_020_1657652331527396640.jpg,OPEN,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652331527396640,user,In-row; open,f0962bf28736f59a82c22831763a8ff7ce48c336f88f76ffd71a287974acd6a2
images/sweet_corn_20220712/frame_103_1657652338762242848.jpg,WEEDS_CONTINUE,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652338762242848,user,SCAN 103; weed in path; continue,0fb54483838e381d4fb5dae3f7df797eab1c2bfadd493a35d0e3f59004aefccf
images/sweet_corn_20220712/frame_022_1657652351594836000.jpg,CROP_STOP,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652351594836000,user,In-row; crop risk; stop,504fe56f7640a5d5bb28d2cae050b71200af20a2faacf1e07da51eb92a7e41f7
images/sweet_corn_20220712/frame_023_1657652361596327968.jpg,OPEN,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652361596327968,user,In-row; open,35d70b754b156d438ee80b35c56b26a2b1b62f7b934d5345484bccd291dff080
images/sweet_corn_20220712/frame_024_1657652371597654912.jpg,OPEN,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652371597654912,user,In-row; open,e240144070b1cb449071a0088c0ed89b939f648131e4fea7eba94054dcbc6d9b
images/sweet_corn_20220712/frame_027_1657652401665865888.jpg,OPEN,sweet_corn,ts_2022_07_12_13h55m30s_one_row.bag,1657652401665865888,user,In-row; open,cab32fd7b624dadd8870377a2d735188dccba2c343b15e65ecf6e66a43b46542
images/soybean_20220712/frame_000_1657651236834544896.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651236834544896,user,Clear; continue,dec4ce27350a9f82524a53e32226441f23e2d896aa12bc93f81f55e325fc43fe
images/soybean_20220712/frame_001_1657651244854078688.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651244854078688,user,Clear; continue,1fc02c9887119a3d4640b15b19409717dc42c2af75a20b54011c07fa96478ec8
images/soybean_20220712/frame_002_1657651252854102176.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651252854102176,user,Clear; continue,16ee0a0641b304183b98635966cd6195d2e4f6f161ea9a5dff3364c258287db3
images/soybean_20220712/frame_003_1657651260887885344.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651260887885344,user,Clear; continue,0e1e6bdd50de1eeddf40517ce97dffdf79f3aa299727f1cdd58748abdde06cf6
images/soybean_20220712/frame_004_1657651268889201984.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651268889201984,user,Clear; continue,ab8b211995a53f455bab1e512e4ba30cb2482d7c9d85e7222f9983ba37624e85
images/soybean_20220712/frame_005_1657651276918841568.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651276918841568,user,Clear; continue,3b8cdb2620c7fa54f4a458d53686fe6a7ccd171e3921fe27e47e2ab9706e7bf4
images/soybean_20220712/frame_006_1657651284920982240.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651284920982240,user,Clear; continue,08a674bf04ea55c2e0b03791f95b1a7b40c53fbae163b31b5631d874ac133973
images/soybean_20220712/frame_009_1657651308988054400.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651308988054400,user,Clear; continue,11ac55f93765381bd8e699b7b0bce182b7cf3b8bd0c2288e95eed03b33c364b2
images/soybean_20220712/frame_010_1657651316989039936.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651316989039936,user,Clear; continue,09be15b597be441b46d5fd921b9f29dbded944e038c9c9bde35cd70d4a684a03
images/soybean_20220712/frame_011_1657651324992355680.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651324992355680,user,Clear; continue,6d9b89b72d69936e06bddf1dc7eed6b186ae90ffb587f3247ddee170ba2e104d
images/soybean_20220712/frame_012_1657651333022637696.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651333022637696,user,Clear; continue,77d266734e1eb6f0bc1a0a782005d6f8fd027d3f83ef24f9f26b9fe888bb012c
images/soybean_20220712/frame_013_1657651341023799136.jpg,OPEN,soybean,ts_2022_07_12_13h40m35s_one_row.bag,1657651341023799136,user,Clear; continue,4a707c79eba3bf31d46b85c64b0747178612c9d27dba28b41b416e818b76ee6c
images/soybean_20220725/frame_002_1658767903277256512.jpg,OVERGROWTH,soybean,ts_2022_07_25_11h51m26s_one_row.bag,1658767903277256512,user,Dense soybean growth; action policy not yet decided,cf195a3d030573681ff738e06fcbbf105b05d6739db5656327d664939bf52476
images/soybean_20220725/frame_003_1658767911277566752.jpg,OVERGROWTH,soybean,ts_2022_07_25_11h51m26s_one_row.bag,1658767911277566752,user,Dense soybean growth; action policy not yet decided,12f71269597f842dae453434d4fc551f0af9623139f9e4de5f0614bda43ec9f9
images/soybean_20220725/frame_004_1658767919311897984.jpg,OVERGROWTH,soybean,ts_2022_07_25_11h51m26s_one_row.bag,1658767919311897984,user,Dense soybean growth; action policy not yet decided,7b9f9786134824f59d1737ada2b7007cc777449c31264d6c7ccf3ee4b3369496
images/soybean_20220725/frame_005_1658767927312739584.jpg,OPEN,soybean,ts_2022_07_25_11h51m26s_one_row.bag,1658767927312739584,user,Clear; continue,58a329280f6a6f8d9101443fc615b725b8d7eeed0328b14494113b885b1145fd
